"Geschäftsnummer","Bewilligungsdatum","Endverbraucherland","AG (GKV)","MTCR (GKV)","NSGI (GKV)","NSGII (GKV)","WA (GKV)","ML (GKV)","Anhang 5.1","Anhang 5.2","Anhang 5.3","ChKV","Wert"
11738,01/04/2012,"China",,,,"2B201b","2B001c",,,,,,492552
11746,01/04/2012,"China",,,,"2B201a1","2B001b2",,,,,,341164
11747,01/04/2012,"Thailand",,,,,,,5.1,,,,7616
11747,01/04/2012,"Thailand",,,,,,,5.1,,,,6241
11747,01/04/2012,"Thailand",,,,,,,5.1,,,,1174
11747,01/04/2012,"Thailand",,,,,,,5.1,,,,2156
11748,01/04/2012,"Türkei",,,,,,"18a",,,,,150900
11693,01/05/2012,"Kenia",,,,,"5A001f",,,,,,159700
11710,01/05/2012,"Indien","1C350.43",,,,,,,,,,18752
11749,01/05/2012,"Taiwan, Provinz von China","2B350g2",,,,,,,,,,24000
11750,01/05/2012,"Indien",,,,"2B201a1","2B001b2",,,,,,370296
11751,01/05/2012,"Serbien",,,,"2B201a",,,,,,,7200
11752,01/05/2012,"Indien",,,,,,"4c",,,,,6037
11753,01/05/2012,"Rumänien",,,,,"2B001d",,,,,,7830
11755,01/06/2012,"China",,,,"2B201a1",,,,,,,215987
11756,01/06/2012,"China",,,,"2B201a1",,,,,,,234736
11757,01/06/2012,"Brasilien",,,,"2B231",,,,,,,69900
11758,01/06/2012,"Brasilien",,,,"2B231",,,,,,,139800
11759,01/06/2012,"Slowenien",,,,,"2B001a",,,,,,231815
11760,01/09/2012,"Marokko",,,,,,,,5.2,,,420000
11761,01/09/2012,"China",,,,,"7B003a",,,,,,2145000
11762,01/09/2012,"Hong Kong",,,,,"3A001a2c",,,,,,36580
11763,01/09/2012,"China",,,,,"3A001a2c",,,,,,5800
11764,01/09/2012,"China",,,,"2B201b1",,,,,,,653000
11765,01/09/2012,"China",,,,"2B201b1","2B001c",,,,,,731500
11766,01/10/2012,"Russische Föderation",,,,,,"1a",,,,,5430
11767,01/10/2012,"Russische Föderation",,,,,,"1a",,,,,5055
11768,01/10/2012,"Russische Föderation",,,,,,"1a",,,,,6738
11769,01/10/2012,"Saudi-Arabien",,,,,"6A002c1",,,,,,23200
11770,01/10/2012,"Hong Kong",,,,,"3A001a2c",,,,,,7800
11771,01/11/2012,"Russische Föderation",,,,"2B201a1",,,,,,,251762
11772,01/11/2012,"China",,,,,"3A001a5a3",,,,,,8010
11773,01/11/2012,"Russische Föderation",,,,"2B201a","2B001b",,,,,,599180
11774,01/12/2012,"Russische Föderation",,,,"2B201a1","2B001b2",,,,,,3080716
11775,01/12/2012,"Russische Föderation",,,,"2B201a","2B001b",,,,,,2160000
11776,01/12/2012,"Russische Föderation",,,,"2B201a","2B001b1",,,,,,451493
11777,01/12/2012,"Russische Föderation",,,,"2B201a1","2B001b2",,,,,,451493
11778,01/12/2012,"China",,,,,"3A001a2c",,,,,,8200
11779,01/12/2012,"Thailand",,,,,,11,,,,,54500
11780,01/12/2012,"Hong Kong",,,,,"3A001a2c",,,,,,414000
11781,01/12/2012,"Hong Kong",,,,,"3A001a2c",,,,,,165600
11782,01/12/2012,"Vereinigte Staaten",,,,,,,5.1,,,,46000
11783,01/13/2012,"China",,"7A103a",,,,,,,,,151596
11784,01/13/2012,"Indien",,,,,"3A002g2",,,,,,50244
11785,01/13/2012,"Ungarn",,,,,,16,,,,,4000
11786,01/13/2012,"Marokko",,"7A103a",,,,,,,,,151596
11787,01/13/2012,"Marokko",,"7A103a",,,,,,,,,151596
11788,01/16/2012,"Israel",,,,,"3A001a10c",,,,,,8682
11789,01/16/2012,"China","2B350d4",,,,,,,,,,63720
11790,01/16/2012,"Israel",,,,,"7A002a+b",,,,,,25672
11791,01/16/2012,"Pakistan (CA)",,,,,,,,,,,1608000
11793,01/16/2012,"Iran, Islamische Republik (SG)",,,,,,,,,,,10738
11794,01/16/2012,"Hong Kong",,,,,"3A001a2c",,,,,,202500
11795,01/17/2012,"Südafrika",,,,,"6A003b4",,,,,,13500
11796,01/17/2012,"Lettland",,,,"2B201a1","2B001b2",,,,,,374873
11797,01/17/2012,"China",,,,"2B201a1",,,,,,,227347
11798,01/17/2012,"China",,,,"2B201a1",,,,,,,170318
11799,01/17/2012,"China",,,,"2B201a1",,,,,,,202775
11800,01/17/2012,"China",,,,"2B201a1",,,,,,,149463
11801,01/17/2012,"Belarus",,,,"2B201b1",,,,,,,385486
11802,01/17/2012,"Belarus",,,,"2B201b1",,,,,,,603045
11803,01/17/2012,"China",,,,"2B201b1",,,,,,,660000
11804,01/17/2012,"Katar",,,,,1,,,,,,1200
11805,01/17/2012,"Indien",,,,,,,5.1,,,,477
11805,01/17/2012,"Indien",,,,,,,5.1,,,,169
11805,01/17/2012,"Indien",,,,,,,5.1,,,,450
11806,01/17/2012,"Russische Föderation",,,,"2B001a","2B001a",,,,,,100967
11806,01/17/2012,"Russische Föderation",,,,,"2B001b",,,,,,246559
11810,01/17/2012,"Iran, Islamische Republik (SG)",,,,,,,,,,,2490
11807,01/18/2012,"Indonesien",,,,,"3A001a2c",,,,,,27900
11808,01/18/2012,"China",,,,"2B201a",,,,,,,253000
11809,01/18/2012,"Neuseeland",,,,,,"5a",,,,,18000
11811,01/18/2012,"China","2B350g3",,,,,,,,,,2100
11812,01/18/2012,"China","2B350g3",,,,,,,,,,7050
11812,01/18/2012,"China","2B350d3",,,,,,,,,,7000
11814,01/18/2012,"Russische Föderation",,,,,"2B001a",,,,,,238965
11814,01/18/2012,"Russische Föderation",,,,,"2B001a",,,,,,214768
11815,01/19/2012,"Schweden",,,,,,"4c",,,,,18455
11816,01/19/2012,"China",,,,,"2B001a",,,,,,580000
11817,01/19/2012,"Singapur",,,,,"2B001a",,,,,,230000
11821,01/19/2012,"Peru",,,,,"5A002.a1a",,,,,,15730
11822,01/19/2012,"Frankreich",,,,,,,5.1,,,,790
11663,01/20/2012,"Vereinigte Staaten",,,"0B001b14",,,,,,,,158000
11666,01/20/2012,"Vereinigte Staaten",,,"0B001b14",,,,,,,,2000000
11667,01/20/2012,"Vereinigte Staaten",,,"0B001b14",,,,,,,,45000
11671,01/20/2012,"China",,,,,"6A002a1d",,,,,,54020
11823,01/20/2012,"Russische Föderation",,,,"1B231b2",,,,,,,27000
11823,01/20/2012,"Russische Föderation",,,,"1B231a",,,,,,,106250
11824,01/20/2012,"Serbien",,,,"2B001a1",,,,,,,5500
11825,01/20/2012,"Ukraine",,,,"2B231",,,,,,,6900
11826,01/20/2012,"Indien",,,,"2B201a1","2B001b2",,,,,,252656
11827,01/20/2012,"Russische Föderation",,,,"2B201a1","2B001b2",,,,,,652715
11828,01/20/2012,"Mongolei",,,,,,1,,,,,7286
11829,01/20/2012,"Slowakei, Slowakische Republik",,,,,"6A005a6b2",,,,,,180000
11818,01/23/2012,"Belarus",,,,,,,5.1,,,,26104
11820,01/23/2012,"Kasachstan",,,,,,"1a",,,,,95544
11830,01/23/2012,"Russische Föderation",,,,"2B201a1","2B001b2",,,,,,276070
11832,01/23/2012,"Niederlande",,,"0B001b14",,,,,,,,6000
11833,01/23/2012,"China","2B350g2",,,,,,,,,,5615
11834,01/23/2012,"Israel",,,,,"6A005a6b2",,,,,,659280
11835,01/23/2012,"Deutschland","1C351d11",,,,,,,,,,162
11835,01/23/2012,"Deutschland","1C351d11",,,,,,,,,,162
11835,01/23/2012,"Deutschland","1C351d11",,,,,,,,,,162
11835,01/23/2012,"Deutschland","1C351d11",,,,,,,,,,162
11836,01/23/2012,"Deutschland","1C351d11",,,,,,,,,,162
11836,01/23/2012,"Deutschland","1C351d11",,,,,,,,,,162
11836,01/23/2012,"Deutschland","1C351d11",,,,,,,,,,162
11836,01/23/2012,"Deutschland","1C351d11",,,,,,,,,,162
11837,01/23/2012,"Deutschland","1C351d11",,,,,,,,,,132
11838,01/23/2012,"Frankreich","1C351d11",,,,,,,,,,82
11813,01/24/2012,"Brasilien",,,,,,"4c",,,,,52360
11831,01/24/2012,"Hong Kong",,,,"2B001a1","2B001b2",,,,,,740000
11839,01/24/2012,"Türkei",,,,,,"18a",,,,,23800
11840,01/24/2012,"Hong Kong",,,,,"3A001a2c",,,,,,15900
11841,01/24/2012,"Hong Kong",,,,,"3A001a2c",,,,,,211000
11842,01/24/2012,"Hong Kong",,,,,"3A001a5a1",,,,,,79200
11843,01/24/2012,"Malaysia",,,,,"5A002a1a",,,,,,21115
11844,01/24/2012,"Russische Föderation",,,,,"6A005a6b2",,,,,,180000
11845,01/25/2012,"Taiwan, Provinz von China",,,,"2B201a","2B001b",,,,,,725000
11846,01/25/2012,"Vereinigte Arabische Emirate",,,,,"6A003b4",,,,,,10040
11847,01/25/2012,"Singapur",,,,"2B201a1","2B001b2",,,,,,321173
11848,01/25/2012,"China",,,,"2B201a1",,,,,,,182065
11849,01/25/2012,"China",,,,,"3A002g2",,,,,,90000
11850,01/25/2012,"China",,,,,"3A002g2",,,,,,54450
11851,01/25/2012,"Russische Föderation",,,,"2B201b","2B001c1",,,,,,1547500
11852,01/25/2012,"Südafrika",,"7A103a",,,,,,,,,151596
11853,01/25/2012,"China","2B350g2",,,,,,,,,,3399
11854,01/26/2012,"Türkei",,,,"2B201a1","2B001b2",,,,,,16800
11855,01/26/2012,"Südafrika",,,,,,"18a",,,,,17150
11855,01/26/2012,"Südafrika",,,,,,"18a",,,,,3200
11856,01/26/2012,"Slowakei, Slowakische Republik",,,,"2B201b1",,,,,,,368636
11857,01/26/2012,"Israel",,,,,"3C001d",,,,,,1
11858,01/26/2012,"Russische Föderation",,,,,,,5.1,,,,16215
11859,01/26/2012,"China",,,,"2B201a","2B001b",,,,,,201715
11860,01/26/2012,"Israel",,,,,"3A001a10c",,,,,,6997
11861,01/26/2012,"Israel",,,,,"3A001a10c",,,,,,6630
11862,01/26/2012,"Singapur",,,,"1C231",,,,,,,2850
11863,01/26/2012,"Brasilien",,,,,"6A005a6b2",,,,,,169371
11819,01/27/2012,"Kenia",,,,,"5A001f",,,,,,170120
11864,01/27/2012,"Russische Föderation",,,,"2B001a","2B001a",,,,,,122070
11865,01/27/2012,"Russische Föderation",,,,"2B201a",,,,,,,492090
11866,01/27/2012,"Russische Föderation",,,,"2B201a",,,,,,,183219
11867,01/27/2012,"Russische Föderation",,,,"2B001a","2B001a",,,,,,291619
11868,01/27/2012,"China",,,,"2B201b1",,,,,,,1780000
11868,01/27/2012,"China",,,,"2B201b1",,,,,,,1
11869,01/27/2012,"Chile","2B350g2",,,,,,,,,,4246
11869,01/27/2012,"Chile","2B350g2",,,,,,,,,,1934
11871,01/27/2012,"Hong Kong",,,,,"5A002a1a",,,,,,6980
11872,01/27/2012,"China",,,,,"5D002c1",,,,,,117036
11873,01/27/2012,"China",,,,,"5D002c1",,,,,,53780
11874,01/27/2012,"China",,,,,"5D002c1",,,,,,51014
11875,01/30/2012,"Deutschland",,,"0B002g",,,,,,,,51060
11876,01/30/2012,"Russische Föderation",,,,,"6A005a6b2",,,,,,180000
11877,01/30/2012,"Brasilien",,,,"2B201a1","2B001b2",,,,,,217978
11878,01/30/2012,"Brasilien",,,,"2B201a1",,,,,,,163440
11879,01/30/2012,"Brasilien",,,,"2B201a1",,,,,,,170248
11880,01/30/2012,"Russische Föderation",,,,,,"1a",,,,,19300
11881,01/30/2012,"Tunesien",,,,,,,,,,"2B4",13047
11882,01/30/2012,"Aserbaidschan",,,,,"6A002c1",,,,,,16480
11883,01/30/2012,"China",,,,"2B201a1","2B001b2",,,,,,687652
11884,01/30/2012,"Russische Föderation",,"7A103a",,,,,,,,,151596
11885,01/30/2012,"Kuba","2B350d3",,,,,,,,,,12615
11886,01/31/2012,"Großbritannien (Vereinigtes Königreich)",,,,"1C233",,,,,,,6450
11887,01/31/2012,"Singapur",,,,,,,5.1,,,,1068
11888,01/31/2012,"Brasilien",,,,,,11,,,,,27380
11888,01/31/2012,"Brasilien",,,,,,11,,,,,48370
11889,02/01/2012,"Russische Föderation",,,,"2B201a","2B001b",,,,,,2236764
11890,02/01/2012,"Kolumbien",,,,,,,5.1,,,,2535
11890,02/01/2012,"Kolumbien",,,,,,,5.1,,,,17250
11891,02/02/2012,"Kenia",,,,,,"4b",,,,,49800
11891,02/02/2012,"Kenia",,,,,,"4b",,,,,15800
11892,02/02/2012,"Dänemark",,,,"1C235",,,,,,,7480
11892,02/02/2012,"Dänemark",,,,"1B231.b2",,,,,,,500
11893,02/02/2012,"Südafrika","2B350g2",,,,,,,,,,14022
11894,02/02/2012,"Chile","2B350g2",,,,,,,,,,32912
11895,02/02/2012,"Iran, Islamische Republik (SG)",,,,,,,,,,,1278
11896,02/02/2012,"Schweden",,,,,,"4c",,,,,6283
11897,02/03/2012,"Vereinigte Staaten",,,,,,"6a",,,,,89
11897,02/03/2012,"Vereinigte Staaten",,,,,,"6a",,,,,2889
11898,02/03/2012,"Malta",,,,,"5A002a1a",,,,,,16000
11899,02/03/2012,"Indien","2B352b",,,,,,,,,,1140000
11900,02/03/2012,"Russische Föderation",,,,"2B001a","2B001a",,,,,,64735
11901,02/03/2012,"Russische Föderation",,,,"2B001a","2B001a",,,,,,202214
11903,02/06/2012,"Indien",,,,,"5A002a1a",,,,,,61440
11904,02/06/2012,"Indien",,,,,"5A002a1a",,,,,,122880
11905,02/06/2012,"Indien",,,,,"5A002a1a",,,,,,30720
11906,02/06/2012,"Pakistan",,,,,"3A002g2",,,,,,55187
11907,02/06/2012,"Deutschland",,,,,,,5.1,,,,800
11908,02/06/2012,"Saudi-Arabien",,,,,"6A002a3f",,,,,,8000
11909,02/07/2012,"Deutschland",,,,,,,5.1,,,,3248
11910,02/07/2012,"China",,,,"2B201a1","2B001b2",,,,,,370688
11911,02/07/2012,"China",,,,"2B201a1",,,,,,,217089
11912,02/07/2012,"China",,,,"2B201a1",,,,,,,247227
11913,02/07/2012,"China",,,,"2B201a1",,,,,,,161681
11914,02/08/2012,"Südafrika",,,,,"6A002c1",,,,,,23200
11917,02/08/2012,"Oman",,,,,"5D002c1",,,,,,16811
11915,02/09/2012,"Deutschland",,,"0B002g",,,,,,,,10900
11918,02/09/2012,"Taiwan, Provinz von China",,,,"2B201a1",,,,,,,204694
11919,02/09/2012,"Elfenbeinküste","2B350g2",,,,,,,,,,2725
11920,02/09/2012,"Russische Föderation",,,,,"6A005a6b2",,,,,,587520
11923,02/09/2012,"Vereinigte Arabische Emirate",,,,,"5A001i",,,,,,3500
11916,02/10/2012,"China",,,,"2B201a1","2B001b2",,,,,,3858000
11924,02/10/2012,"Südafrika","2B350g2",,,,,,,,,,1179
11925,02/10/2012,"Russische Föderation","2B350g2",,,,,,,,,,6358
11926,02/10/2012,"Deutschland",,,,,,6,,,,,1755
11926,02/10/2012,"Deutschland",,,,,,6,,,,,1755
11927,02/13/2012,"Taiwan, Provinz von China",,,,,"5A002a1a",,,,,,16000
11928,02/13/2012,"Israel",,,,"2B201b1",,,,,,,740000
11929,02/13/2012,"Slowenien",,,,,"6A002a3f",,,,,,7244
11930,02/13/2012,"Hong Kong",,,,,"3A001a2c",,,,,,36500
11931,02/13/2012,"Indien",,,,"2B001a","2B001a",,,,,,155605
11932,02/13/2012,"Taiwan, Provinz von China","1C35009",,,,,,,,,"3B14",5256
11933,02/13/2012,"Oman",,,,,"5A002a1a",,,,,,69712
11934,02/13/2012,"Hong Kong",,,,,"3A001a2c",,,,,,89100
11935,02/13/2012,"Israel",,,,,"2B001a",,,,,,148750
11936,02/13/2012,"Israel",,,,,"2B001a",,,,,,304500
11937,02/14/2012,"Singapur",,,,"1C231",,,,,,,4000
11939,02/15/2012,"Deutschland",,,"0B001b14",,,,,,,,10000
11940,02/15/2012,"Serbien",,,,"2B201a1",,,,,,,4000
11942,02/15/2012,"Thailand","2B350g2",,,,,,,,,,38819
11943,02/15/2012,"Aserbaidschan",,,,,"5A002a1a",,,,,,27305
11922,02/16/2012,"Kasachstan",,,,,,,5.1,,,,2313
11945,02/16/2012,"Ägypten","2B350g2",,,,,,,,,,4006
11946,02/16/2012,"Indien",,,,,,,5.1,,,,6980
11947,02/16/2012,"Brasilien",,,,,,,5.1,,,,5030
11948,02/16/2012,"Russische Föderation",,,,"2B201a1",,,,,,,483829
11949,02/16/2012,"China",,,,,"2B001a",,,,,,2682018
11951,02/17/2012,"Frankreich",,,"0B001b14",,,,,,,,27000
11952,02/17/2012,"China",,,,"2B001b3",,,,,,,940000
11954,02/20/2012,"China",,,,"2B201b1",,,,,,,332800
11955,02/20/2012,"China",,,,,"2B005d1",,,,,,2174500
11956,02/20/2012,"Frankreich",,,,,"1A008c",,,,,,100000
11953,02/22/2012,"China",,,,,"6A002a1d",,,,,,465000
11957,02/22/2012,"China",,,,"2B201a1",,,,,,,210240
11958,02/22/2012,"China",,,,"2B201a1",,,,,,,447994
11959,02/22/2012,"China",,,,"2B201a1",,,,,,,1856270
11960,02/22/2012,"China",,,,"2B201a1",,,,,,,219957
11961,02/22/2012,"China",,,,"2B201a1",,,,,,,216696
11962,02/22/2012,"China",,,,"2B201a1",,,,,,,223017
11963,02/22/2012,"China",,,,"2B201a1",,,,,,,439914
11964,02/22/2012,"China",,,,"2B201a1",,,,,,,221190
11965,02/22/2012,"China",,,,"3A228c",,,,,,,6592
11966,02/22/2012,"Russische Föderation",,,,"2B201a","2B001b2",,,,,,351540
11967,02/22/2012,"Russische Föderation",,,,"2B201a1","2B001b2",,,,,,363171
11968,02/22/2012,"China",,,,"2B201a1",,,,,,,225118
11969,02/22/2012,"China",,,,"2B201a1",,,,,,,222652
11970,02/22/2012,"China",,"7A103a",,,,,,,,,151596
11971,02/22/2012,"Ägypten",,,,,"5A002a1a",,,,,,44400
11971,02/22/2012,"Ägypten",,,,,"5A002a1a",,,,,,122800
11972,02/22/2012,"Brasilien",,,,,,,5.1,,,,3337
11973,02/22/2012,"Russische Föderation",,,,"2B001a","2B001a",,,,,,109619
11974,02/22/2012,"Russische Föderation",,,,"2B001a","2B001a",,,,,,109619
11975,02/22/2012,"Russische Föderation",,,,"2B001a","2B001a",,,,,,109618
11976,02/22/2012,"Thailand",,,,,,,5.1,,,,15480
11976,02/22/2012,"Thailand",,,,,,,5.1,,,,2508
11977,02/22/2012,"Russische Föderation",,,,"2B201a1","2B001b2",,,,,,766132
11978,02/22/2012,"China",,,,,"6A005a6b2",,,,,,155514
11950,02/23/2012,"Israel",,,,,,,5.1,,,,5
11979,02/23/2012,"Serbien",,,,,"5A001f",,,,,,191541
11980,02/23/2012,"China",,,,"2B201b1",,,,,,,513000
11981,02/23/2012,"China",,,,"2B201b1",,,,,,,497000
11982,02/23/2012,"China",,,,"2B201b1",,,,,,,486000
11983,02/23/2012,"China",,,,"2B201a1",,,,,,,885765
11984,02/23/2012,"China",,,,"2B201a1",,,,,,,176533
11985,02/23/2012,"Taiwan, Provinz von China",,,,"2B201b1",,,,,,,260000
11986,02/23/2012,"Slowenien",,,,,"2B001a",,,,,,168310
11987,02/23/2012,"Russische Föderation",,,,"2B201a",,,,,,,274540
11988,02/23/2012,"China",,,,"3A228c",,,,,,,5890
11989,02/23/2012,"China",,,,,"3A001g2",,,,,,98371
11990,02/23/2012,"Zypern",,,,,"7B003",,,,,,25000
11991,02/23/2012,"China",,,,,"3A001a2c",,,,,,658100
11992,02/23/2012,"Russische Föderation",,"2B120",,,"7B003a",,,,,,1958500
11993,02/24/2012,"Thailand",,,,"2B201a","2B001b1",,,,,,160000
11994,02/24/2012,"Schweden",,,,,,"4c",,,,,7926
11995,02/24/2012,"Hong Kong",,,,,"3A001a2c",,,,,,28300
11996,02/24/2012,"China",,,,"2B201a1",,,,,,,210270
11997,02/27/2012,"China",,,,"2B201a","2B001b2",,,,,,323823
11998,02/27/2012,"Südafrika",,"7A103a",,,,,,,,,151596
11999,02/27/2012,"Russische Föderation",,,,"2B201b1",,,,,,,1419157
12002,02/27/2012,"Brasilien",,,,,"6A005a6b2",,,,,,169371
12003,02/27/2012,"Malaysia",,,,,"3A002g2",,,,,,40551
12004,02/27/2012,"Israel",,,,,"7B003a",,,,,,7800
12004,02/27/2012,"Israel",,,,,"7B003a",,,,,,53800
12005,02/27/2012,"China",,,,,"3A001a2c",,,,,,131800
12006,02/27/2012,"Russische Föderation",,,,,"6A002c1",,,,,,11566
12007,02/27/2012,"Schweiz","1C351d11",,,,,,,,,,44
12008,02/27/2012,"Vereinigte Staaten","1C351d11",,,,,,,,,,222
12009,02/27/2012,"Iran, Islamische Republik (SG)",,,,,,,,,,,585
12010,02/27/2012,"Belarus",,,,,"5A001f",,,,,,500
12011,02/27/2012,"Algerien",,,,,"5A002a1a",,,,,,770740
12012,02/28/2012,"Taiwan, Provinz von China",,,,,"2B001a",,,,,,575000
12013,02/28/2012,"Jordanien",,,,,"6A002c1",,,,,,8722
12013,02/28/2012,"Jordanien",,,,,"6A002a3f",,,,,,8461
12014,02/28/2012,"Chile",,,,,,"15d",,,,,100000
12014,02/28/2012,"Chile",,,,,,"5b",,,,,30000
12014,02/28/2012,"Chile",,,,,,"13c",,,,,25
12014,02/28/2012,"Chile",,,,,"6A002c1",,,,,,53200
12015,02/28/2012,"Chile",,,,,"6A002a3f",,,,,,12200
12016,02/28/2012,"Russische Föderation",,,,"2B201a","2B001a",,,,,,740000
12017,02/28/2012,"Indien",,,,,"4A003a",,,,,,25000
12018,02/28/2012,"Russische Föderation",,,,"2B001a","2B001a",,,,,,138052
12021,02/28/2012,"Iran, Islamische Republik (SG)",,,,,,,,,,,82219
12022,02/28/2012,"Iran, Islamische Republik (SG)",,,,,,,,,,,585
12020,02/29/2012,"Indien",,,,,,,5.1,,,,450
12023,02/29/2012,"Mongolei",,,,,"5A001f",,,,,,4000
12024,02/29/2012,"Israel",,,,,"7A002a+b",,,,,,428951
12025,03/01/2012,"Serbien",,,,"2B001a","2B001a",,,,,,15000
12026,03/01/2012,"Singapur",,,,"2B201b1",,,,,,,297100
12027,03/01/2012,"China",,,,"2B201a1",,,,,,,133640
12028,03/01/2012,"China",,,,,"5D002c1",,,,,,54243
12029,03/02/2012,"Hong Kong",,,,,"3A001a2c",,,,,,103500
12030,03/02/2012,"Singapur",,,,"1C231",,,,,,,4000
12032,03/02/2012,"Mexiko",,,,,"5A001f",,,,,,4000
12033,03/02/2012,"Russische Föderation",,,,,,,5.1,,,,120
11941,03/05/2012,"Taiwan, Provinz von China","2B352d2",,,,,,,,,,25000
12034,03/05/2012,"Hong Kong",,,,,"3A001a5a1",,,,,,164700
12035,03/05/2012,"Russische Föderation",,,,"2B201a1",,,,,,,37975
12036,03/05/2012,"Israel",,,,,"2B001a",,,,,,143000
12037,03/06/2012,"Katar","2B350e5",,,,,,,,,,236316
12038,03/06/2012,"China",,,,"2B201b1","2B001c1",,,,,,680000
12039,03/06/2012,"China",,,,"2B201a1",,,,,,,264782
12040,03/06/2012,"China",,,,"2B201a1",,,,,,,143921
12042,03/06/2012,"China",,,,"2B201a1",,,,,,,617093
12043,03/06/2012,"Taiwan, Provinz von China","1C350.9",,,,,,,,,"3B14",2890
12044,03/06/2012,"Bangladesch",,,,,"6A002c1",,,,,,6740
12045,03/06/2012,"Thailand",,,,,"5A001f",,,,,,5500
12046,03/06/2012,"Pakistan",,,,,"5A001f",,,,,,5500
12047,03/06/2012,"Vereinigte Arabische Emirate",,,,,"6A002c1",,,,,,7611
12047,03/06/2012,"Vereinigte Arabische Emirate",,,,,"6A002c1",,,,,,11167
12047,03/06/2012,"Vereinigte Arabische Emirate",,,,,"6A002a3f",,,,,,7300
12048,03/06/2012,"Südafrika",,,,,,,5.1,,,,310
12049,03/06/2012,"Thailand","2B350g2",,,,,,,,,,4383
12050,03/06/2012,"China","2B350g2",,,,,,,,,,9784
12051,03/06/2012,"Indonesien",,,,,"5A001f",,,,,,7000
12052,03/07/2012,"Großbritannien (Vereinigtes Königreich)",,,,"1B231.b2",,,,,,,500
12052,03/07/2012,"Großbritannien (Vereinigtes Königreich)",,,,"1C235",,,,,,,12450
12053,03/07/2012,"Russische Föderation",,,,"2B001a","2B001a",,,,,,363240
12054,03/07/2012,"Indonesien",,,,"2B201b1",,,,,,,358109
12055,03/07/2012,"Indien",,,,,"6A003b4",,,,,,6700
12056,03/07/2012,"Taiwan, Provinz von China",,,,,"2B001a",,,,,,1950000
12064,03/07/2012,"Iran, Islamische Republik (SG)",,,,,,,,,,,2300
12058,03/08/2012,"Rumänien",,,,,"2B001a",,,,,,84000
12059,03/08/2012,"Schweden",,,,,,"4c",,,,,10789
12060,03/08/2012,"Pakistan","2B350g2",,,,,,,,,,1635
12061,03/08/2012,"Frankreich",,,"0B001b14",,,,,,,,330000
12062,03/08/2012,"San Marino",,,,,,"10b",,,,,95000
12063,03/08/2012,"Niederlande",,,"0B001b14",,,,,,,,5000
12057,03/09/2012,"Belarus",,,,"2B201b1",,,,,,,1248383
12065,03/09/2012,"Indien",,,,"2B001a","2B001a",,,,,,453500
12066,03/09/2012,"Pakistan","2B350g2",,,,,,,,,,10368
12067,03/09/2012,"Israel",,,,,"7B003a",,,,,,41000
12067,03/09/2012,"Israel",,,,,"7B003a",,,,,,21000
12068,03/09/2012,"Taiwan, Provinz von China",,,,"2B201b1","2B001c",,,,,,863000
12069,03/09/2012,"Chile",,,,,,"1a",5.1,,,,13900
12070,03/09/2012,"Vietnam",,,,,"5A001f",,,,,,902396
12071,03/09/2012,"China",,,,,"6A005a5b",,,,,,59080
12072,03/09/2012,"China",,,,"2B201b1",,,,,,,948000
12073,03/09/2012,"China",,,,"2B201b","2B001c",,,,,,280000
12074,03/09/2012,"Indien",,,,,"6A002c1",,,,,,7611
12074,03/09/2012,"Indien",,,,,,"5b",,,,,50000
12074,03/09/2012,"Indien",,,,,"6A002c1",,,,,,10233
12074,03/09/2012,"Indien",,,,,"6A002c1",,,,,,19720
12074,03/09/2012,"Indien",,,,,"6A002a3f",,,,,,7300
12075,03/09/2012,"China",,,,"2B201b","2B001c",,,,,,1371975
12076,03/09/2012,"Brasilien",,,,,"5A002a1a",,,,,,3890
12077,03/09/2012,"China",,,,"2B201a1",,,,,,,1064250
12078,03/09/2012,"Hong Kong",,,,,"5A002a1a",,,,,,3890
11938,03/12/2012,"Kroatien (Hrvatska)",,,,,"6A005a6b2",,,,,,155800
11944,03/12/2012,"China",,,,,"6A005a6b2",,,,,,24000
12079,03/12/2012,"China",,,,,"2B001a",,,,,,160570
12080,03/12/2012,"Russische Föderation",,,,"2B201a1","2B001b2",,,,,,341600
12081,03/12/2012,"Algerien",,,,,,,,5.2,,,625000
12082,03/12/2012,"China",,,,"2B201a1",,,,,,,1064250
12083,03/12/2012,"Taiwan, Provinz von China",,,,,"3A001g2",,,,,,70000
12084,03/12/2012,"Vereinigte Arabische Emirate",,,,,"5A001f",,,,,,1300
12085,03/13/2012,"Korea, Republik",,,,"1C233",,,,,,,4600
12086,03/13/2012,"Peru",,,,,"5A002a1a",,,,,,76800
12087,03/13/2012,"Peru",,,,,"5A002a1a",,,,,,44800
12088,03/13/2012,"Indien",,,,"2B201a1","2B001b2",,,,,,840000
12089,03/13/2012,"Peru",,,,,"5A002a1a",,,,,,19200
12090,03/13/2012,"China",,,,,"2B001a",,,,,,570000
12091,03/14/2012,"Brasilien",,,,"2B201a1","2B001b2",,,,,,228380
12092,03/14/2012,"China",,,,"2B201b1","2B001c",,,,,,600000
12093,03/14/2012,"China",,,,"2B201a1","2B001b2",,,,,,274216
12094,03/14/2012,"China",,,,"2B201a1",,,,,,,200807
12095,03/14/2012,"China",,,,,"2B001d",,,,,,272175
12096,03/14/2012,"Iran, Islamische Republik (SG)",,,,,,,,,,,1
12097,03/14/2012,"Katar",,,,,"3A001a5a5",,,,,,75000
12098,03/15/2012,"China",,,,,"5D002c1",,,,,,79838
