"","GN","UnterGN","Datum","Land","Wert","Verzeichnis","Signatur","Haupttyp","Untertyp","Zusatz","Herkunftsdatei"
"819",8001341,1,2014-12-18,"China",53360,"GKV","3A001.a2c","3","A","001a2c","ELIC"
"820",8001344,1,2014-12-18,"China",1022972.7,"GKV","6A002.c1","6","A","002c1","ELIC"
"821",8001344,2,2014-12-18,"China",1639671,"GKV","6A002.c1","6","A","002c1","ELIC"
"822",8001204,1,2014-12-18,"China",1280000,"GKV","2B001.b|2B201.a","2","B","001b","ELIC"
"823",8001204,2,2014-12-18,"China",900000,"GKV","2B001.b|2B201.a","2","B","001b","ELIC"
"824",8001330,1,2014-12-18,"China",111761.4,"GKV","7A003.c1","7","A","003c1","ELIC"
"825",8001351,1,2014-12-18,"Deutschland",15900,"GKV","1C228","1","C","228","ELIC"
"826",8001354,1,2014-12-18,"Israel",2475,"GKV","1C231","1","C","231","ELIC"
"827",8001359,1,2014-12-18,"Iran",35,"unbekannt","III.A1.003 Iran Sanktionen","","","","ELIC"
"828",8001342,1,2014-12-18,"Vereinigte Arabische Emirate",575,"5.1","5.1","1","","","ELIC"
"829",8001342,2,2014-12-18,"Vereinigte Arabische Emirate",550,"5.1","5.1","1","","","ELIC"
"830",8001340,1,2014-12-18,"Vereinigte Arabische Emirate",2500,"5.1","5.1","1","","","ELIC"
"831",8001337,1,2014-12-18,"Vereinigte Arabische Emirate",1000,"5.1","5.1","1","","","ELIC"
"832",8001337,2,2014-12-18,"Vereinigte Arabische Emirate",1000,"5.1","5.1","1","","","ELIC"
"833",8001338,1,2014-12-18,"Vereinigte Arabische Emirate",500,"5.1","5.1","1","","","ELIC"
"834",8001361,1,2014-12-18,"Deutschland",1094,"GKV","0B002","0","B","002","ELIC"
"835",8001364,1,2014-12-19,"China",62080,"GKV","6A005.a6a","6","A","005a6a","ELIC"
"836",8001348,1,2014-12-19,"Tunesien",30450,"ML (GKV)","ML10.f","10","f","","ELIC"
"837",8001336,1,2014-12-19,"Algerien",102805,"GKV","3A002.g2","3","A","002g2","ELIC"
"838",8001142,1,2014-12-19,"Saudi-Arabien",1355.25,"5.1","5.1","1","","","ELIC"
"839",8001142,2,2014-12-19,"Saudi-Arabien",1608.75,"5.1","5.1","1","","","ELIC"
"840",8001346,1,2014-12-19,"Myanmar",13860,"5.1","5.1","1","","","ELIC"
"841",8001346,2,2014-12-19,"Myanmar",11560.5,"5.1","5.1","1","","","ELIC"
"842",8001346,3,2014-12-19,"Myanmar",15435,"5.1","5.1","1","","","ELIC"
"843",8001370,1,2014-12-19,"China",282528,"GKV","3A002.g2","3","A","002g2","ELIC"
"844",8001369,1,2014-12-19,"Russland",18800,"GKV","5A002","5","A","002","ELIC"
"845",8001369,2,2014-12-19,"Russland",48630,"GKV","5A002","5","A","002","ELIC"
"846",8001369,3,2014-12-19,"Russland",54605,"GKV","5A002","5","A","002","ELIC"
"847",8001358,1,2014-12-19,"Russland",210,"GKV","1C231","1","C","231","ELIC"
"848",8001363,1,2014-12-19,"Russland",690000,"GKV","7A002.a|7A002.b","7","A","002a","ELIC"
"849",8001372,1,2014-12-19,"USA",50,"5.1","5.1","1","","","ELIC"
"850",8001367,1,2014-12-19,"China",57814,"GKV","7A103.a1","7","A","103a1","ELIC"
"851",8001295,1,2014-12-22,"Russland",12878,"GKV","6A002.c1","6","A","002c1","ELIC"
"852",8001165,1,2014-12-22,"Kuwait",146750,"GKV","5A002.a1","5","A","002a1","ELIC"
"853",8001165,2,2014-12-22,"Kuwait",139104,"GKV","5A002.a1","5","A","002a1","ELIC"
"854",8001165,3,2014-12-22,"Kuwait",119520,"GKV","5A002.a1","5","A","002a1","ELIC"
"855",8001375,1,2014-12-22,"Indien",680000,"GKV","2B001.c|2B201.b","2","B","001c","ELIC"
"856",8001087,1,2014-12-23,"Katar",28845.8,"GKV","7A003","7","A","003","ELIC"
"857",8000697,1,2014-12-29,"Saudi-Arabien",4590,"5.1","5.1","1","","","ELIC"
"858",8001310,1,2014-12-29,"China",5600,"GKV","6A005.a.6.b","6","A","005a6b","ELIC"
"859",8001310,2,2014-12-29,"China",32000,"GKV","6A005.a.6.b","6","A","005a6b","ELIC"
"860",8001310,3,2014-12-29,"China",698000,"GKV","6A005.a.6.b","6","A","005a6b","ELIC"
"861",8001388,1,2014-12-29,"USA",1027,"5.1","5.1","1","","","ELIC"
"862",8001322,1,2014-12-30,"Kanada",4150,"5.1","5.1","1","","","ELIC"
"863",8001322,2,2014-12-30,"Kanada",1100,"5.1","5.1","1","","","ELIC"
"864",8001322,3,2014-12-30,"Kanada",50,"5.1","5.1","1","","","ELIC"
"865",8001390,1,2014-12-30,"Ukraine",1340025,"GKV","2B001|2B201","2","B","001","ELIC"
"866",8001391,1,2014-12-30,"Ukraine",556541,"GKV","2B001.a","2","B","001a","ELIC"
"867",8001392,1,2014-12-31,"Russland",469277,"GKV","2B201.b","2","B","201b","ELIC"
"868",8001393,1,2014-12-31,"Iran",49.4,"unbekannt","III.AI.003","","","","ELIC"
"869",8001393,2,2014-12-31,"Iran",8.45,"unbekannt","III.A1.003","","","","ELIC"
"870",8001393,3,2014-12-31,"Iran",37.05,"unbekannt","III.A1.003","","","","ELIC"
"871",8001393,4,2014-12-31,"Iran",88.4,"unbekannt","III.A1.003","","","","ELIC"
"872",8001393,5,2014-12-31,"Iran",39,"unbekannt","III.A1.003","","","","ELIC"
"873",8001393,6,2014-12-31,"Iran",8.45,"unbekannt","III.A1.003","","","","ELIC"
"874",10263,1,2012-03-22,"Iran",1790,"unbekannt","unbekannt","","","","Tracker"
"875",11180,1,2012-05-25,"China",550000,"GKV","0B001b14","0","B","001b14","Tracker"
"876",11435,1,2013-02-25,"Gabun",650,"5.1","5.1","1","","","Tracker"
"877",11435,2,2013-02-25,"Gabun",4200,"5.1","5.1","1","","","Tracker"
"878",11663,1,2012-01-20,"USA",158000,"GKV","0B001b14","0","B","001b14","Tracker"
"879",11666,1,2012-01-20,"USA",2000000,"GKV","0B001b14","0","B","001b14","Tracker"
"880",11667,1,2012-01-20,"USA",45000,"GKV","0B001b14","0","B","001b14","Tracker"
"881",11671,1,2012-01-20,"China",54020,"GKV","6A002a1d","6","A","002a1d","Tracker"
"882",11693,1,2012-01-05,"Kenia",159700,"GKV","5A001f","5","A","001f","Tracker"
"883",11710,1,2012-01-05,"Indien",18752,"GKV","1C350.43","1","C","35043","Tracker"
"884",11738,1,2012-01-04,"China",492552,"GKV","2B201b|2B001c","2","B","201b","Tracker"
"885",11746,1,2012-01-04,"China",341164,"GKV","2B201a1|2B001b2","2","B","201a1","Tracker"
"886",11747,1,2012-01-04,"Thailand",7616,"5.1","5.1","1","","","Tracker"
"887",11747,2,2012-01-04,"Thailand",6241,"5.1","5.1","1","","","Tracker"
"888",11747,3,2012-01-04,"Thailand",1174,"5.1","5.1","1","","","Tracker"
"889",11747,4,2012-01-04,"Thailand",2156,"5.1","5.1","1","","","Tracker"
"890",11748,1,2012-01-04,"Türkei",150900,"ML (GKV)","18a","18","a","","Tracker"
"891",11749,1,2012-01-05,"Taiwan",24000,"GKV","2B350g2","2","B","350g2","Tracker"
"892",11750,1,2012-01-05,"Indien",370296,"GKV","2B201a1|2B001b2","2","B","201a1","Tracker"
"893",11751,1,2012-01-05,"Serbien",7200,"GKV","2B201a","2","B","201a","Tracker"
"894",11752,1,2012-01-05,"Indien",6037,"ML (GKV)","4c","4","c","","Tracker"
"895",11753,1,2012-01-05,"Rumänien",7830,"GKV","2B001d","2","B","001d","Tracker"
"896",11755,1,2012-01-06,"China",215987,"GKV","2B201a1","2","B","201a1","Tracker"
"897",11756,1,2012-01-06,"China",234736,"GKV","2B201a1","2","B","201a1","Tracker"
"898",11757,1,2012-01-06,"Brasilien",69900,"GKV","2B231","2","B","231","Tracker"
"899",11758,1,2012-01-06,"Brasilien",139800,"GKV","2B231","2","B","231","Tracker"
"900",11759,1,2012-01-06,"Slowenien",231815,"GKV","2B001a","2","B","001a","Tracker"
"901",11760,1,2012-01-09,"Marokko",420000,"5.2","5.2","2","","","Tracker"
"902",11761,1,2012-01-09,"China",2145000,"GKV","7B003a","7","B","003a","Tracker"
"903",11762,1,2012-01-09,"Hong Kong",36580,"GKV","3A001a2c","3","A","001a2c","Tracker"
"904",11763,1,2012-01-09,"China",5800,"GKV","3A001a2c","3","A","001a2c","Tracker"
"905",11764,1,2012-01-09,"China",653000,"GKV","2B201b1","2","B","201b1","Tracker"
"906",11765,1,2012-01-09,"China",731500,"GKV","2B201b1|2B001c","2","B","201b1","Tracker"
"907",11766,1,2012-01-10,"Russland",5430,"ML (GKV)","1a","1","a","","Tracker"
"908",11767,1,2012-01-10,"Russland",5055,"ML (GKV)","1a","1","a","","Tracker"
"909",11768,1,2012-01-10,"Russland",6738,"ML (GKV)","1a","1","a","","Tracker"
"910",11769,1,2012-01-10,"Saudi-Arabien",23200,"GKV","6A002c1","6","A","002c1","Tracker"
"911",11770,1,2012-01-10,"Hong Kong",7800,"GKV","3A001a2c","3","A","001a2c","Tracker"
"912",11771,1,2012-01-11,"Russland",251762,"GKV","2B201a1","2","B","201a1","Tracker"
"913",11772,1,2012-01-11,"China",8010,"GKV","3A001a5a3","3","A","001a5a3","Tracker"
